"PRESSURE1","TEMPERATURE1","STRESS_XX","STRESS_XY","STRESS_YY","STRESS_ZZ","STRAIN_XX","STRAIN_XY","STRAIN_YY","STRAIN_ZZ","STRAIN_PLS","DILATANCY","NODAL_VELOCITY1:0","NODAL_VELOCITY1:1","NODAL_VELOCITY1:2","DISPLACEMENT:0","DISPLACEMENT:1","DISPLACEMENT:2","DENSITY","VISCOSITY","SPECIFIC_HEAT_CAPACITY","HEAT_CONDUCTIVITY","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.248605999942810e-01,5.185499999882326e+02,1.185045312560579e-01,-2.955419077831043e-05,1.190383083038624e-01,2.219887779044580e-03,7.198573167623771e-03,-3.659090286838364e-06,7.231616508681333e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,7.492702352128023e-14,0.000000000000000e+00,1.666838280223900e-04,0.000000000000000e+00,0.000000000000000e+00,9.512722000024277e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,2.300000004470348e-02,2.300000004470348e-02,0.000000000000000e+00,0.000000000000000e+00
1.247327999733327e-01,5.183499999553271e+02,1.183886739025647e-01,-3.180996422827521e-05,1.190364629064749e-01,2.241521651343015e-03,7.190061806027184e-03,-3.938376523500645e-06,7.230163030081711e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,7.818472072376484e-14,0.000000000000000e+00,1.739309521536955e-04,0.000000000000000e+00,0.000000000000000e+00,9.513136000092387e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,2.400000020861626e-02,2.400000020861626e-02,0.000000000000000e+00,0.000000000000000e+00
1.246049999523844e-01,5.181499999224217e+02,1.182728165490715e-01,-3.406573767824000e-05,1.190346175090874e-01,2.263155523641451e-03,7.181550444430595e-03,-4.217662760162928e-06,7.228709551482089e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,8.144241792624946e-14,0.000000000000000e+00,1.811780762850010e-04,0.000000000000000e+00,0.000000000000000e+00,9.513550000160497e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,2.500000037252903e-02,2.500000037252903e-02,0.000000000000000e+00,0.000000000000000e+00
1.244771999314361e-01,5.179499998895162e+02,1.181569591955783e-01,-3.632151112820478e-05,1.190327721117000e-01,2.284789395939887e-03,7.173039082834008e-03,-4.496948996825210e-06,7.227256072882467e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,8.470011512873407e-14,0.000000000000000e+00,1.884252004163066e-04,0.000000000000000e+00,0.000000000000000e+00,9.513964000228608e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,2.600000053644180e-02,2.600000053644180e-02,0.000000000000000e+00,0.000000000000000e+00
1.243493999104878e-01,5.177499998566108e+02,1.180411018420850e-01,-3.857728457816956e-05,1.190309267143125e-01,2.306423268238322e-03,7.164527721237420e-03,-4.776235233487493e-06,7.225802594282846e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999997999e+01,8.795781233121866e-14,0.000000000000000e+00,1.956723245476120e-04,0.000000000000000e+00,0.000000000000000e+00,9.514378000296718e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,2.700000070035458e-02,2.700000070035458e-02,0.000000000000000e+00,0.000000000000000e+00
1.242215998895395e-01,5.175499998237053e+02,1.179252444885918e-01,-4.083305802813435e-05,1.190290813169250e-01,2.328057140536758e-03,7.156016359640832e-03,-5.055521470149776e-06,7.224349115683225e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,9.121550953370329e-14,0.000000000000000e+00,2.029194486789176e-04,0.000000000000000e+00,0.000000000000000e+00,9.514792000364830e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,2.800000086426735e-02,2.800000086426735e-02,0.000000000000000e+00,0.000000000000000e+00
1.240938001066372e-01,5.173500001633289e+02,1.178093873508997e-01,-4.308882727639434e-05,1.190272359229748e-01,2.349690972538973e-03,7.147505013897888e-03,-5.334807186600990e-06,7.222895639790918e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,9.447320066825500e-14,0.000000000000000e+00,2.101665593114047e-04,0.000000000000000e+00,0.000000000000000e+00,9.515205999661806e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,2.899999916553497e-02,2.899999916553497e-02,0.000000000000000e+00,0.000000000000000e+00
1.239660000856889e-01,5.171500001304235e+02,1.176935299974065e-01,-4.534460072635912e-05,1.190253905255873e-01,2.371324844837409e-03,7.138993652301300e-03,-5.614093423263272e-06,7.221442161191295e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999997999e+01,9.773089787073961e-14,0.000000000000000e+00,2.174136834427102e-04,0.000000000000000e+00,0.000000000000000e+00,9.515619999729915e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,2.999999932944775e-02,2.999999932944775e-02,0.000000000000000e+00,0.000000000000000e+00
1.238382000647406e-01,5.169500000975180e+02,1.175776726439132e-01,-4.760037417632391e-05,1.190235451281998e-01,2.392958717135844e-03,7.130482290704713e-03,-5.893379659925556e-06,7.219988682591674e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998002e+01,1.009885950732242e-13,0.000000000000000e+00,2.246608075740157e-04,0.000000000000000e+00,0.000000000000000e+00,9.516033999798027e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,3.099999949336052e-02,3.099999949336052e-02,0.000000000000000e+00,0.000000000000000e+00
1.237103998057462e-01,5.167499996920835e+02,1.174618150746189e-01,-4.985615182799347e-05,1.190216997273750e-01,2.414592629730501e-03,7.121970913254482e-03,-6.172666416798907e-06,7.218535201284738e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,1.042462983436417e-13,0.000000000000000e+00,2.319079452041396e-04,0.000000000000000e+00,0.000000000000000e+00,9.516448000637273e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,3.200000151991844e-02,3.200000151991844e-02,0.000000000000000e+00,0.000000000000000e+00
1.235826000228440e-01,5.165500000317070e+02,1.173459579369268e-01,-5.211192107625347e-05,1.190198543334249e-01,2.436226461732716e-03,7.113459567511538e-03,-6.451952133250121e-06,7.217081725392431e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,1.075039894781934e-13,0.000000000000000e+00,2.391550558366268e-04,0.000000000000000e+00,0.000000000000000e+00,9.516861999934247e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,3.299999982118607e-02,3.299999982118607e-02,0.000000000000000e+00,0.000000000000000e+00
1.234547997638496e-01,5.163499996262726e+02,1.172301003676324e-01,-5.436769872792304e-05,1.190180089326001e-01,2.457860374327372e-03,7.104948190061306e-03,-6.731238890123472e-06,7.215628244085495e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998002e+01,1.107616927486109e-13,0.000000000000000e+00,2.464021934667507e-04,0.000000000000000e+00,0.000000000000000e+00,9.517276000773493e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,3.400000184774399e-02,3.400000184774399e-02,0.000000000000000e+00,0.000000000000000e+00
1.233269999809474e-01,5.161499999658961e+02,1.171142432299403e-01,-5.662346797618304e-05,1.190161635386499e-01,2.479494206329587e-03,7.096436844318362e-03,-7.010524606574685e-06,7.214174768193188e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,1.140193838831626e-13,0.000000000000000e+00,2.536493040992378e-04,0.000000000000000e+00,0.000000000000000e+00,9.517690000070469e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,3.500000014901161e-02,3.500000014901161e-02,0.000000000000000e+00,0.000000000000000e+00
1.231992001980451e-01,5.159500003055198e+02,1.169983860922482e-01,-5.887923722444303e-05,1.190143181446997e-01,2.501128038331802e-03,7.087925498575418e-03,-7.289810323025900e-06,7.212721292300881e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,1.172770750177144e-13,0.000000000000000e+00,2.608964147317249e-04,0.000000000000000e+00,0.000000000000000e+00,9.518103999367445e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,3.599999845027924e-02,3.599999845027924e-02,0.000000000000000e+00,0.000000000000000e+00
1.230713999390508e-01,5.157499999000852e+02,1.168825285229538e-01,-6.113501487611261e-05,1.190124727438749e-01,2.522761950926458e-03,7.079414121125187e-03,-7.569097079899251e-06,7.211267810993944e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999997999e+01,1.205347782881319e-13,0.000000000000000e+00,2.681435523618488e-04,0.000000000000000e+00,0.000000000000000e+00,9.518518000206691e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,3.700000047683716e-02,3.700000047683716e-02,0.000000000000000e+00,0.000000000000000e+00
1.229436001561485e-01,5.155500002397088e+02,1.167666713852617e-01,-6.339078412437260e-05,1.190106273499247e-01,2.544395782928673e-03,7.070902775382243e-03,-7.848382796350465e-06,7.209814335101638e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,1.237924694226836e-13,0.000000000000000e+00,2.753906629943359e-04,0.000000000000000e+00,0.000000000000000e+00,9.518931999503667e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,3.799999877810478e-02,3.799999877810478e-02,0.000000000000000e+00,0.000000000000000e+00
1.228157998971541e-01,5.153499998342743e+02,1.166508138159674e-01,-6.564656177604216e-05,1.190087819490999e-01,2.566029695523330e-03,7.062391397932011e-03,-8.127669553223817e-06,7.208360853794702e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,1.270501726931011e-13,0.000000000000000e+00,2.826378006244598e-04,0.000000000000000e+00,0.000000000000000e+00,9.519346000342912e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,3.900000080466270e-02,3.900000080466270e-02,0.000000000000000e+00,0.000000000000000e+00
1.226880001142519e-01,5.151500001738979e+02,1.165349566782753e-01,-6.790233102430215e-05,1.190069365551498e-01,2.587663527525545e-03,7.053880052189068e-03,-8.406955269675031e-06,7.206907377902395e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,1.303078638276528e-13,0.000000000000000e+00,2.898849112569469e-04,0.000000000000000e+00,0.000000000000000e+00,9.519759999639887e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,3.999999910593033e-02,3.999999910593033e-02,0.000000000000000e+00,0.000000000000000e+00
1.225601998552576e-01,5.149499997684635e+02,1.164267144446559e-01,-6.876762513050675e-05,1.189524838042285e-01,2.598243343402546e-03,7.046524401505979e-03,-8.514086920919325e-06,7.202881552338627e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,1.328416336851677e-13,0.000000000000000e+00,2.968084625994153e-04,0.000000000000000e+00,0.000000000000000e+00,9.520174000479133e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,4.100000113248825e-02,4.100000113248825e-02,0.000000000000000e+00,0.000000000000000e+00
1.224324000723553e-01,5.147500001080871e+02,1.163184726210774e-01,-6.963291477017424e-05,1.188980312091290e-01,2.608823109984542e-03,7.039168779257971e-03,-8.621218019163787e-06,7.198855739472560e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,1.353753934564875e-13,0.000000000000000e+00,3.037319878604160e-04,0.000000000000000e+00,0.000000000000000e+00,9.520587999776109e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,4.199999943375587e-02,4.199999943375587e-02,0.000000000000000e+00,0.000000000000000e+00
1.223045998133610e-01,5.145499997026526e+02,1.162102303942660e-01,-7.049820763330232e-05,1.188435784111774e-01,2.619402915979307e-03,7.031813129608088e-03,-8.728349516503369e-06,7.194829911609147e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,1.379091626668141e-13,0.000000000000000e+00,3.106555389136019e-04,0.000000000000000e+00,0.000000000000000e+00,9.521002000615354e-07,1.278000000000000e-09,4.680000000000001e+03,6.000000000000000e-01,1,4.300000146031380e-02,4.300000146031380e-02,0.000000000000000e+00,0.000000000000000e+00
1.221768000304588e-01,5.143500000422763e+02,1.161019885706875e-01,-7.136349727296981e-05,1.187891258160778e-01,2.629982682561303e-03,7.024457507360080e-03,-8.835480614747833e-06,7.190804098743080e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,1.404429224381340e-13,0.000000000000000e+00,3.175790641746026e-04,0.000000000000000e+00,0.000000000000000e+00,9.521415999912330e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,4.399999976158142e-02,4.399999976158142e-02,0.000000000000000e+00,0.000000000000000e+00
